year,city,party,mention_count
1988,Porvoo,Suomen Kansan Demokraattinen Liitto,1
1988,Kokkola,Suomen Keskusta,1
1988,Hyvinkää,Suomen Keskusta,4
1988,Hyvinkää,Suomen Kansan Demokraattinen Liitto,7
1988,Hyvinkää,Suomen Sosialidemokraattinen Puolue,6
1988,Hyvinkää,Suomen Maaseudun Puolue,1
1988,Hyvinkää,Vasemmistoliitto,1
1988,Hyvinkää,Suomen ruotsalainen kansanpuolue,1
1988,Hyvinkää,Kansallinen Kokoomus,2
1988,Hyvinkää,Vihreä liitto,1
1988,Lohja,Suomen Sosialidemokraattinen Puolue,5
1988,Lohja,Suomen ruotsalainen kansanpuolue,1
1988,Lohja,Suomen Kansan Demokraattinen Liitto,2
1988,Lohja,Vasemmistoliitto,1
1988,Lohja,Vihreä liitto,2
1988,Lohja,Kansallinen Kokoomus,1
1988,Lohja,Suomen Keskusta,2
1988,Järvenpää,Suomen Keskusta,2
1988,Järvenpää,Vihreä liitto,1
1988,Järvenpää,Kansallinen Kokoomus,1
1988,Järvenpää,Suomen Kansan Demokraattinen Liitto,1
1988,Rauma,Suomen Kansan Demokraattinen Liitto,2
1988,Rauma,Suomen Maaseudun Puolue,1
1988,Rauma,Suomen Sosialidemokraattinen Puolue,10
1988,Rauma,Kansallinen Kokoomus,3
1988,Rauma,Perussuomalaiset,1
1988,Kerava,Vihreä liitto,1
1988,Kerava,Suomen Kansan Demokraattinen Liitto,2
1988,Kerava,Suomen Maaseudun Puolue,1
1988,Kerava,Suomen Keskusta,1
1988,Kajaani,Demokraattinen Vaihtoehto,2
1988,Kajaani,Suomen Keskusta,10
1988,Kajaani,Perussuomalaiset,1
1988,Kajaani,Suomen Sosialidemokraattinen Puolue,1
1988,Kajaani,Kansallinen Kokoomus,3
1988,Kajaani,Suomen Maaseudun Puolue,1
1988,Nokia,Suomen Keskusta,2
1988,Nokia,Suomen Sosialidemokraattinen Puolue,4
1988,Nokia,Suomen Kansan Demokraattinen Liitto,4
1988,Nokia,Vihreä liitto,2
1988,Nokia,Suomen Maaseudun Puolue,1
1988,Nokia,Suomen Kristillisdemokraatit,1
1988,Ylöjärvi,Suomen Kansan Demokraattinen Liitto,2
1988,Ylöjärvi,Vihreä liitto,1
1988,Savonlinna,Suomen Keskusta,4
1988,Savonlinna,Vihreä liitto,1
1988,Savonlinna,Kansallinen Kokoomus,1
1988,Riihimäki,Suomen Sosialidemokraattinen Puolue,5
1988,Riihimäki,Suomen Kansan Demokraattinen Liitto,2
1988,Riihimäki,Kansallinen Kokoomus,1
1988,Riihimäki,Vihreä liitto,1
1988,Imatra,Suomen Kansan Demokraattinen Liitto,2
1988,Imatra,Suomen Sosialidemokraattinen Puolue,7
1988,Imatra,Kansallinen Kokoomus,5
1988,Imatra,Suomen Maaseudun Puolue,1
1988,Imatra,Suomen Keskusta,1
1988,Imatra,Vihreä liitto,2
1988,Raahe,Kansallinen Kokoomus,2
1988,Raahe,Suomen Keskusta,6
1988,Raahe,Demokraattinen Vaihtoehto,4
1988,Raahe,Suomen Kansan Demokraattinen Liitto,3
1988,Tornio,Demokraattinen Vaihtoehto,6
1988,Tornio,Suomen Sosialidemokraattinen Puolue,2
1988,Tornio,Suomen Keskusta,7
1988,Tornio,Kansallinen Kokoomus,1
1988,Iisalmi,Kansallinen Kokoomus,1
1988,Iisalmi,Suomen Sosialidemokraattinen Puolue,1
1988,Valkeakoski,Suomen Keskusta,1
1988,Valkeakoski,Suomen Sosialidemokraattinen Puolue,3
1988,Valkeakoski,Suomen Kansan Demokraattinen Liitto,1
1988,Valkeakoski,Kansallinen Kokoomus,1
1988,Kemi,Suomen ruotsalainen kansanpuolue,3
1988,Kemi,Vasemmistoliitto,1
1988,Kemi,Suomen Keskusta,11
1988,Kemi,Suomen Sosialidemokraattinen Puolue,5
1988,Kemi,Suomen Maaseudun Puolue,4
1988,Kemi,Demokraattinen Vaihtoehto,12
1988,Kemi,Kansallinen Kokoomus,10
1988,Kemi,Vihreä liitto,2
1988,Kemi,Suomen Kansan Demokraattinen Liitto,5
1988,Varkaus,Suomen Sosialidemokraattinen Puolue,5
1988,Varkaus,Suomen Keskusta,1
1988,Varkaus,Suomen Maaseudun Puolue,1
1988,Varkaus,Vihreä liitto,1
1988,Jämsä,Suomen Sosialidemokraattinen Puolue,1
1988,Hamina,Suomen Sosialidemokraattinen Puolue,8
1988,Hamina,Kansallinen Kokoomus,2
1988,Hamina,Suomen Maaseudun Puolue,2
1988,Naantali,Suomen Kansan Demokraattinen Liitto,1
1988,Naantali,Vihreä liitto,1
1988,Naantali,Suomen ruotsalainen kansanpuolue,1
1988,Naantali,Suomen Maaseudun Puolue,1
1988,Pietarsaari,Suomen ruotsalainen kansanpuolue,1
1988,Äänekoski,Suomen Kristillisdemokraatit,2
1988,Äänekoski,Kansallinen Kokoomus,3
1988,Äänekoski,Suomen Sosialidemokraattinen Puolue,2
1988,Heinola,Suomen Maaseudun Puolue,1
1988,Heinola,Kansallinen Kokoomus,2
1988,Pieksämäki,Suomen Sosialidemokraattinen Puolue,2
1988,Pieksämäki,Kansallinen Kokoomus,1
1988,Forssa,Suomen Keskusta,7
1988,Forssa,Suomen Kansan Demokraattinen Liitto,2
1988,Forssa,Kansallinen Kokoomus,1
1988,Akaa,Suomen Keskusta,1
1988,Orimattila,Suomen ruotsalainen kansanpuolue,2
1988,Loimaa,Suomen Kansan Demokraattinen Liitto,3
1988,Loimaa,Suomen Sosialidemokraattinen Puolue,2
1988,Loimaa,Kansallinen Kokoomus,1
1988,Uusikaupunki,Suomen Sosialidemokraattinen Puolue,1
1988,Ylivieska,Suomen Maaseudun Puolue,1
1988,Kuusamo,Suomen Maaseudun Puolue,3
1988,Kuusamo,Suomen Sosialidemokraattinen Puolue,3
1988,Kuusamo,Kansallinen Kokoomus,1
1988,Kuusamo,Suomen Keskusta,3
1988,Loviisa,Suomen Sosialidemokraattinen Puolue,2
1988,Loviisa,Suomen Keskusta,1
1988,Loviisa,Suomen ruotsalainen kansanpuolue,2
1988,Loviisa,Kansallinen Kokoomus,1
1988,Loviisa,Vasemmistoliitto,1
1988,Loviisa,Vihreä liitto,1
1988,Lapua,Kansallinen Kokoomus,1
1988,Lapua,Perussuomalaiset,1
1988,Kauhajoki,Kansallinen Kokoomus,1
1988,Kankaanpää,Perussuomalaiset,1
1988,Kankaanpää,Suomen Sosialidemokraattinen Puolue,1
1988,Kankaanpää,Vasemmistoliitto,2
1988,Kankaanpää,Suomen ruotsalainen kansanpuolue,1
1988,Kankaanpää,Kansallinen Kokoomus,1
1988,Kalajoki,Vasemmistoliitto,1
1988,Kalajoki,Suomen Keskusta,1
1988,Kalajoki,Suomen Sosialidemokraattinen Puolue,1
1988,Maarianhamina,Suomen Kansan Demokraattinen Liitto,1
1988,Maarianhamina,Suomen Sosialidemokraattinen Puolue,1
1988,Paimio,Suomen ruotsalainen kansanpuolue,1
1988,Lieksa,Suomen Keskusta,4
1988,Lieksa,Suomen Kristillisdemokraatit,1
1988,Lieksa,Suomen Sosialidemokraattinen Puolue,1
1988,Kauniainen,Suomen Sosialidemokraattinen Puolue,10
1988,Kauniainen,Kansallinen Kokoomus,3
1988,Kauniainen,Suomen Keskusta,5
1988,Kauniainen,Suomen Maaseudun Puolue,2
1988,Kauniainen,Suomen Kristillisdemokraatit,2
1988,Kauniainen,Vihreä liitto,1
1988,Kitee,Suomen Keskusta,2
1988,Huittinen,Suomen Sosialidemokraattinen Puolue,1
1988,Närpiö,Suomen Keskusta,1
1988,Nurmes,Kansallinen Kokoomus,1
1988,Nurmes,Vasemmistoliitto,1
1988,Nurmes,Suomen Maaseudun Puolue,1
1988,Nurmes,Suomen Keskusta,1
1988,Nurmes,Vihreä liitto,1
1988,Keuruu,Suomen Sosialidemokraattinen Puolue,1
1988,Alajärvi,Kansallinen Kokoomus,2
1988,Saarijärvi,Suomen Sosialidemokraattinen Puolue,1
1988,Orivesi,Suomen Maaseudun Puolue,1
1988,Orivesi,Suomen Kansan Demokraattinen Liitto,1
1988,Karkkila,Kansallinen Kokoomus,1
1988,Somero,Suomen Keskusta,4
1988,Laitila,Suomen ruotsalainen kansanpuolue,1
1988,Hanko,Vasemmistoliitto,1
1988,Hanko,Kansallinen Kokoomus,2
1988,Hanko,Suomen Kansan Demokraattinen Liitto,2
1988,Hanko,Suomen Keskusta,2
1988,Hanko,Suomen Sosialidemokraattinen Puolue,5
1988,Hanko,Suomen Maaseudun Puolue,1
1988,Kuhmo,Suomen Maaseudun Puolue,1
1988,Kuhmo,Kansallinen Kokoomus,2
1988,Kuhmo,Suomen Sosialidemokraattinen Puolue,1
1988,Kuhmo,Suomen Kansan Demokraattinen Liitto,2
1988,Kuhmo,Suomen ruotsalainen kansanpuolue,1
1988,Pudasjärvi,Suomen Keskusta,10
1988,Pudasjärvi,Suomen Kansan Demokraattinen Liitto,2
1988,Pudasjärvi,Kansallinen Kokoomus,2
1988,Pudasjärvi,Suomen Sosialidemokraattinen Puolue,1
1988,Kemijärvi,Suomen Keskusta,2
1988,Kemijärvi,Kansallinen Kokoomus,3
1988,Kemijärvi,Demokraattinen Vaihtoehto,1
1988,Oulainen,Suomen Keskusta,1
1988,Kokemäki,Suomen ruotsalainen kansanpuolue,1
1988,Kokemäki,Kansallinen Kokoomus,2
1988,Kokemäki,Perussuomalaiset,1
1988,Kokemäki,Suomen Maaseudun Puolue,1
1988,Kokemäki,Suomen Sosialidemokraattinen Puolue,3
1988,Kokemäki,Suomen Keskusta,1
1988,Suonenjoki,Suomen Sosialidemokraattinen Puolue,2
1988,Ikaalinen,Suomen Sosialidemokraattinen Puolue,1
1988,Ikaalinen,Suomen Maaseudun Puolue,1
1988,Ikaalinen,Perussuomalaiset,1
1988,Harjavalta,Suomen Sosialidemokraattinen Puolue,3
1988,Harjavalta,Vihreä liitto,1
1988,Haapavesi,Suomen Keskusta,1
1988,Outokumpu,Suomen Kansan Demokraattinen Liitto,5
1988,Outokumpu,Suomen Sosialidemokraattinen Puolue,11
1988,Outokumpu,Kansallinen Kokoomus,3
1988,Outokumpu,Suomen Keskusta,2
1988,Outokumpu,Vihreä liitto,3
1988,Outokumpu,Demokraattinen Vaihtoehto,1
1988,Outokumpu,Vasemmistoliitto,1
1988,Virrat,Suomen Kansan Demokraattinen Liitto,1
1988,Kristiinankaupunki,Suomen ruotsalainen kansanpuolue,1
1988,Parkano,Suomen Kansan Demokraattinen Liitto,2
1988,Parkano,Suomen Sosialidemokraattinen Puolue,2
1988,Parkano,Vihreä liitto,1
1988,Parkano,Kansallinen Kokoomus,1
1988,Parkano,Suomen ruotsalainen kansanpuolue,1
1988,Parkano,Perussuomalaiset,1
1988,Ähtäri,Suomen Maaseudun Puolue,1
1988,Pyhäjärvi,Suomen Keskusta,4
1988,Pyhäjärvi,Suomen Sosialidemokraattinen Puolue,2
1990,Helsinki,Suomen Sosialidemokraattinen Puolue,82
1990,Helsinki,Suomen Kansan Demokraattinen Liitto,40
1990,Helsinki,Suomen ruotsalainen kansanpuolue,28
1990,Helsinki,Vihreä liitto,41
1990,Helsinki,Kansallinen Kokoomus,60
1990,Helsinki,Suomen Keskusta,65
1990,Helsinki,Suomen Maaseudun Puolue,23
1990,Helsinki,Vasemmistoliitto,31
1990,Helsinki,Suomen Kristillisdemokraatit,24
1990,Helsinki,Perussuomalaiset,8
1990,Helsinki,Demokraattinen Vaihtoehto,1
1990,Espoo,Vasemmistoliitto,4
1990,Espoo,Kansallinen Kokoomus,8
1990,Espoo,Vihreä liitto,4
1990,Espoo,Suomen Sosialidemokraattinen Puolue,2
1990,Espoo,Suomen ruotsalainen kansanpuolue,2
1990,Espoo,Suomen Keskusta,2
1990,Tampere,Suomen Kansan Demokraattinen Liitto,20
1990,Tampere,Suomen Maaseudun Puolue,12
1990,Tampere,Suomen ruotsalainen kansanpuolue,3
1990,Tampere,Kansallinen Kokoomus,23
1990,Tampere,Vasemmistoliitto,3
1990,Tampere,Suomen Keskusta,15
1990,Tampere,Suomen Sosialidemokraattinen Puolue,26
1990,Tampere,Vihreä liitto,3
1990,Tampere,Perussuomalaiset,3
1990,Tampere,Suomen Kristillisdemokraatit,4
1990,Vantaa,Suomen Keskusta,3
1990,Vantaa,Kansallinen Kokoomus,7
1990,Vantaa,Suomen Sosialidemokraattinen Puolue,10
1990,Vantaa,Suomen Kristillisdemokraatit,1
1990,Vantaa,Suomen ruotsalainen kansanpuolue,2
1990,Vantaa,Vihreä liitto,2
1990,Vantaa,Vasemmistoliitto,1
1990,Oulu,Vihreä liitto,19
1990,Oulu,Suomen Keskusta,27
1990,Oulu,Perussuomalaiset,2
1990,Oulu,Suomen Kansan Demokraattinen Liitto,3
1990,Oulu,Suomen Sosialidemokraattinen Puolue,6
1990,Oulu,Suomen ruotsalainen kansanpuolue,8
1990,Oulu,Kansallinen Kokoomus,11
1990,Oulu,Vasemmistoliitto,4
1990,Oulu,Suomen Maaseudun Puolue,1
1990,Oulu,Suomen Kristillisdemokraatit,2
1990,Turku,Suomen Sosialidemokraattinen Puolue,30
1990,Turku,Suomen Keskusta,10
1990,Turku,Suomen Kristillisdemokraatit,4
1990,Turku,Suomen Maaseudun Puolue,4
1990,Turku,Vihreä liitto,8
1990,Turku,Suomen ruotsalainen kansanpuolue,4
1990,Turku,Suomen Kansan Demokraattinen Liitto,34
1990,Turku,Kansallinen Kokoomus,21
1990,Turku,Vasemmistoliitto,2
1990,Turku,Perussuomalaiset,3
1990,Turku,Demokraattinen Vaihtoehto,1
1990,Jyväskylä,Suomen Keskusta,4
1990,Jyväskylä,Suomen Sosialidemokraattinen Puolue,17
1990,Jyväskylä,Suomen Kristillisdemokraatit,3
1990,Jyväskylä,Suomen Kansan Demokraattinen Liitto,2
1990,Jyväskylä,Kansallinen Kokoomus,5
1990,Jyväskylä,Suomen Maaseudun Puolue,1
1990,Jyväskylä,Suomen ruotsalainen kansanpuolue,2
1990,Jyväskylä,Perussuomalaiset,1
1990,Kuopio,Suomen Sosialidemokraattinen Puolue,6
1990,Kuopio,Suomen ruotsalainen kansanpuolue,2
1990,Kuopio,Kansallinen Kokoomus,10
1990,Kuopio,Suomen Kristillisdemokraatit,2
1990,Kuopio,Demokraattinen Vaihtoehto,1
1990,Kuopio,Suomen Keskusta,5
1990,Kuopio,Suomen Kansan Demokraattinen Liitto,1
1990,Lahti,Suomen Keskusta,5
1990,Lahti,Suomen Kansan Demokraattinen Liitto,2
1990,Lahti,Kansallinen Kokoomus,6
1990,Lahti,Suomen Sosialidemokraattinen Puolue,9
1990,Lahti,Suomen Kristillisdemokraatit,1
1990,Lahti,Suomen Maaseudun Puolue,1
1990,Lahti,Perussuomalaiset,2
1990,Pori,Kansallinen Kokoomus,8
1990,Pori,Suomen Sosialidemokraattinen Puolue,11
1990,Pori,Suomen Maaseudun Puolue,3
1990,Pori,Suomen ruotsalainen kansanpuolue,1
1990,Pori,Suomen Kansan Demokraattinen Liitto,5
1990,Pori,Perussuomalaiset,3
1990,Pori,Vihreä liitto,2
1990,Pori,Suomen Keskusta,2
1990,Kouvola,Suomen Sosialidemokraattinen Puolue,7
1990,Kouvola,Kansallinen Kokoomus,5
1990,Kouvola,Demokraattinen Vaihtoehto,1
1990,Kouvola,Suomen Kristillisdemokraatit,1
1990,Joensuu,Suomen Sosialidemokraattinen Puolue,5
1990,Joensuu,Suomen Keskusta,6
1990,Joensuu,Kansallinen Kokoomus,2
1990,Joensuu,Suomen ruotsalainen kansanpuolue,2
1990,Lappeenranta,Suomen Sosialidemokraattinen Puolue,5
1990,Lappeenranta,Vihreä liitto,1
1990,Lappeenranta,Kansallinen Kokoomus,5
1990,Lappeenranta,Suomen Keskusta,2
1990,Lappeenranta,Suomen Kansan Demokraattinen Liitto,1
1990,Lappeenranta,Perussuomalaiset,1
1990,Hämeenlinna,Kansallinen Kokoomus,2
1990,Hämeenlinna,Suomen Keskusta,6
1990,Hämeenlinna,Suomen Sosialidemokraattinen Puolue,6
1990,Hämeenlinna,Suomen ruotsalainen kansanpuolue,1
1990,Hämeenlinna,Perussuomalaiset,1
1990,Hämeenlinna,Suomen Maaseudun Puolue,3
1990,Vaasa,Suomen ruotsalainen kansanpuolue,14
1990,Vaasa,Suomen Sosialidemokraattinen Puolue,7
1990,Vaasa,Kansallinen Kokoomus,4
1990,Vaasa,Suomen Keskusta,10
1990,Vaasa,Vihreä liitto,3
1990,Vaasa,Suomen Kansan Demokraattinen Liitto,8
1990,Vaasa,Suomen Kristillisdemokraatit,1
1990,Vaasa,Perussuomalaiset,1
1990,Vaasa,Suomen Maaseudun Puolue,1
1990,Seinäjoki,Suomen Keskusta,6
1990,Seinäjoki,Suomen ruotsalainen kansanpuolue,1
1990,Seinäjoki,Suomen Kansan Demokraattinen Liitto,3
1990,Seinäjoki,Kansallinen Kokoomus,3
1990,Rovaniemi,Suomen Sosialidemokraattinen Puolue,9
1990,Rovaniemi,Suomen Maaseudun Puolue,4
1990,Rovaniemi,Suomen ruotsalainen kansanpuolue,1
1990,Rovaniemi,Suomen Keskusta,6
1990,Rovaniemi,Vihreä liitto,1
1990,Rovaniemi,Suomen Kansan Demokraattinen Liitto,5
1990,Rovaniemi,Kansallinen Kokoomus,4
1990,Rovaniemi,Suomen Kristillisdemokraatit,1
1990,Rovaniemi,Perussuomalaiset,1
1990,Rovaniemi,Demokraattinen Vaihtoehto,1
1990,Mikkeli,Suomen Keskusta,4
1990,Mikkeli,Suomen Sosialidemokraattinen Puolue,8
1990,Mikkeli,Suomen Maaseudun Puolue,4
1990,Mikkeli,Vasemmistoliitto,2
1990,Mikkeli,Suomen Kansan Demokraattinen Liitto,1
1990,Mikkeli,Kansallinen Kokoomus,1
1990,Kotka,Suomen Sosialidemokraattinen Puolue,11
1990,Kotka,Perussuomalaiset,1
1990,Kotka,Suomen Keskusta,1
1990,Kotka,Kansallinen Kokoomus,6
1990,Kotka,Suomen Kristillisdemokraatit,1
1990,Salo,Kansallinen Kokoomus,3
1990,Salo,Suomen Kansan Demokraattinen Liitto,1
1990,Porvoo,Suomen Sosialidemokraattinen Puolue,6
1990,Porvoo,Suomen Keskusta,1
1990,Porvoo,Suomen ruotsalainen kansanpuolue,2
1990,Porvoo,Suomen Kansan Demokraattinen Liitto,2
1990,Porvoo,Kansallinen Kokoomus,1
1990,Kokkola,Suomen Keskusta,2
1990,Kokkola,Suomen Kansan Demokraattinen Liitto,1
1990,Kokkola,Kansallinen Kokoomus,2
1990,Kokkola,Suomen ruotsalainen kansanpuolue,2
1990,Hyvinkää,Suomen Sosialidemokraattinen Puolue,1
1990,Hyvinkää,Suomen Keskusta,1
1990,Lohja,Kansallinen Kokoomus,1
1990,Lohja,Vasemmistoliitto,8
1990,Lohja,Suomen Sosialidemokraattinen Puolue,2
1990,Järvenpää,Suomen Keskusta,1
1990,Rauma,Suomen Kansan Demokraattinen Liitto,6
1990,Rauma,Suomen Sosialidemokraattinen Puolue,10
1990,Rauma,Kansallinen Kokoomus,5
1990,Rauma,Vihreä liitto,1
1990,Kerava,Vihreä liitto,3
1990,Kerava,Suomen Kansan Demokraattinen Liitto,1
1990,Kajaani,Suomen Sosialidemokraattinen Puolue,4
1990,Kajaani,Suomen Kansan Demokraattinen Liitto,1
1990,Kajaani,Kansallinen Kokoomus,2
1990,Kajaani,Vihreä liitto,1
1990,Kajaani,Suomen Keskusta,2
1990,Kaarina,Suomen Kansan Demokraattinen Liitto,1
1990,Nokia,Vasemmistoliitto,1
1990,Nokia,Suomen Kansan Demokraattinen Liitto,3
1990,Nokia,Vihreä liitto,1
1990,Nokia,Kansallinen Kokoomus,1
1990,Ylöjärvi,Suomen Kansan Demokraattinen Liitto,2
1990,Ylöjärvi,Suomen Maaseudun Puolue,1
1990,Savonlinna,Suomen Sosialidemokraattinen Puolue,2
1990,Savonlinna,Kansallinen Kokoomus,1
1990,Savonlinna,Suomen Keskusta,1
1990,Riihimäki,Suomen Sosialidemokraattinen Puolue,3
1990,Riihimäki,Suomen Kansan Demokraattinen Liitto,2
1990,Riihimäki,Vihreä liitto,1
1990,Imatra,Kansallinen Kokoomus,5
1990,Imatra,Suomen Sosialidemokraattinen Puolue,4
1990,Imatra,Perussuomalaiset,3
1990,Imatra,Suomen Keskusta,2
